Player,Nation,Position,Team,Age,MP,Starts,Min,Goals,Assists,G-PK,PK,Pkatt,Yellow,Red,Season,Team’s Points for Season
Alsu Abdullina,ru RUS,"DF,FW",chelsea,21,6,0,121,0,1,0,0,0,0,0,2022-2023,58
Princess Ademiluyi,,"MF,FW",west ham,,2,0,10,0,0,0,0,0,0,0,2022-2023,21
Michelle Agyemang,eng ENG,FW,arsenal,16,3,0,16,0,0,0,0,0,0,0,2022-2023,47
Asmita Ale,eng ENG,"DF,MF",tottenham,20,13,10,815,0,1,0,0,0,0,0,2022-2023,18
Laia Aleixandri,es ESP,"DF,MF",manchester city,21,16,15,1302,0,0,0,0,0,1,0,2022-2023,47
Tinaya Alexander,eng ENG,MF,reading,23,1,0,17,0,0,0,0,0,0,0,2022-2023,11
Remi Allen,eng ENG,MF,aston villa,31,3,1,168,0,0,0,0,0,1,0,2022-2023,37
Filippa Angeldahl,se SWE,MF,manchester city,,16,12,1098,2,1,2,0,0,1,0,2022-2023,47
Mackenzie Arnold,au AUS,GK,west ham,28,20,20,1789,0,0,0,0,0,1,0,2022-2023,21
Viviane Asseyi,fr FRA,"FW,MF",west ham,28,22,22,1941,6,3,6,0,0,2,0,2022-2023,21
Izzy Atkinson,ie IRL,"FW,MF",west ham,21,16,2,389,1,1,1,0,0,0,0,2022-2023,
Rosella Ayane,ma MAR,"MF,FW",tottenham,26,,13,1093,1,4,1,0,0,1,0,2022-2023,18
Ava Baker,eng ENG,FW,leicester city,16,9,1,158,1,0,1,0,0,0,0,2022-2023,16
Libby Bance,eng ENG,MF,brighton,19,17,8,691,0,0,0,0,0,0,0,2022-2023,16
Molly Bartrip,eng ENG,,tottenham,26,22,22,1956,1,3,1,0,0,3,0,2022-2023,18
Ona Batlle,es ESP,DF,manchester utd,23,19,19,1709,1,9,1,0,0,1,0,2022-2023,56
Jennifer Beattie,sct SCO,DF,arsenal,31,13,6,589,0,0,0,0,0,0,0,2022-2023,47
Agnes Beever-Jones,eng ENG,FW,everton,19,16,7,761,2,0,2,0,0,3,1,2022-2023,30
Hanna Bennison,se SWE,"MF,FW",everton,19,21,14,1259,3,0,3,0,0,0,0,2022-2023,30
Ann-Katrin Berger,de GER,GK,chelsea,31,15,15,1350,0,0,0,0,0,0,0,2022-2023,58
Guro Bergsvand,no NOR,DF,brighton,28,10,9,741,0,1,0,0,0,0,0,2022-2023,16
Stina Blackstenius,se SWE,FW,arsenal,26,22,20,1605,8,0,8,0,0,0,0,2022-2023,47
Julie Blakstad,no NOR,FW,manchester city,20,9,2,237,2,1,2,0,0,0,0,2022-2023,47
Laura Blindkilde,eng ENG,"MF,FW",aston villa,18,21,16,1335,0,0,0,0,0,2,0,2022-2023,37
Hannah Blundell,eng ENG,DF,manchester utd,28,22,22,1842,1,2,1,0,0,3,0,2022-2023,56
Missy Bo Kearns,,MF,liverpool,21,22,17,1439,4,0,4,0,0,2,0,2022-2023,23
Gemma Bonner,eng ENG,DF,liverpool,31,12,10,976,0,1,0,0,0,1,0,2022-2023,23
CJ Bott,nz NZL,"DF,MF",leicester city,27,19,13,1234,0,0,0,0,0,4,0,2022-2023,16
Chantelle Boye-Hlorkah,eng ENG,"FW,MF",aston villa,26,4,0,61,0,0,0,0,0,0,0,2022-2023,37
Ellie Brazil,eng ENG,FW,tottenham,23,3,1,94,,0,0,0,0,0,0,2022-2023,18
Millie Bright,eng ENG,DF,chelsea,28,14,14,1229,1,1,1,0,0,0,0,2022-2023,58
Courtney Brosnan,ie IRL,GK,everton,26,14,14,1260,0,0,0,0,0,0,0,2022-2023,30
Georgia Brougham,eng ENG,DF,leicester city,26,1,1,90,0,0,0,0,0,0,0,2022-2023,16
Faye Bryson,eng ENG,"DF,MF",reading,25,17,10,998,0,1,0,0,0,5,0,2022-2023,11
Kadeisha Buchanan,ca CAN,DF,chelsea,26,16,14,1269,0,,0,0,0,2,0,2022-2023,58
Jackie Burns,nir NIR,GK,reading,25,10,10,874,0,0,0,0,0,0,1,2022-2023,11
Hannah Cain,wls WAL,FW,leicester city,23,14,13,1058,2,2,1,1,1,1,0,,16
Diane Caldwell,ie IRL,DF,reading,33,11,9,758,0,0,0,0,0,2,0,2022-2023,11
Megan Campbell,ie IRL,"DF,MF",liverpool,29,16,12,1090,0,1,0,0,0,2,0,2022-2023,23
